Alias,country
810770,CAN
20DAN03,GBR
321MRHAATZ,COL
3ARRETT,USA
3NT0N,GER
3RROR404,DEN
666_NOOB,GBR
8888Q,USA
AARON LEE,AUS
ABACYS,BEL
ADAM,XXX
ADAM CORNELIUS,USA
ADDISON,CAN
ADIRONDACK,USA
ADRENALIN,GBR
ADUDEABIDES,USA
AFAELR,BRA
AGAMESCOUT,USA
AGUSVITTA,ARG
AIRETHO,USA
AKAY,CAN
AKGRANDMASTERB,USA
AKIDEEMUS,FIN
AKUMA,GER
AL SHAHED,AUS
ALAN,USA
ALDEN,USA
ALECAT,AUS
ALEJODIOS,ARG
ALEX (HONG KONG),HKG
ALEX H,GBR
ALEX KERR,USA
ALEX STROESCU,ROU
ALEX THACH,USA
ALEXKTETRIS,CAN
ALFALFA,COL
ALLENBOT,SGP
ALLY_OK,USA
ALOHAAXE,USA
ALWIN,SUI
AMJ,USA
ANCHIKAI,USA
ANDMIND,ITA
ANDRE,GBR
ANDREW,AUS
ANDREY,BRA
ANDREY K,RUS
ANGEL,HKG
ANGELO666,ITA
ANGRYCOLER,ESP
ANGRYRORO,USA
ANGUS,AUS
ANICOMI,KAZ
ANNA D,USA
ANOMALOUS,USA
DILLAN,USA
ANXIECHRIS,BRA
APROPERDOG,ITA
ARBARO,USA
ARCANTIUSX,XXX
ARCHINA,GBR
ARD1998,NED
ARDEN,ITA
ARHPLAYSTETRIS,XXX
ARMON,USA
ARMSTRONG,USA
ARTUR,MDA
ASMADI,USA
ASTA,USA
ASUNARU,JPN
ATALITO,TUR
ATKOSTER,XXX
AURORA,USA
AVGEEK,USA
AVOGADRUU,INA
AWNING_GUY,USA
HANA,USA
AYDEN,ARG
AZN_ANTHONY,AUS
B14NK,USA
BACON AND PIE,USA
BALAAGE,HUN
BAO,SGP
BARD_OW,IRL
BATFOY,USA
BBFORKY,USA
BEA,BRA
BEADLE,GBR
BEASTINSHEN,USA
BEN C,AUS
BEN MULLEN,USA
BENFAMIR,GBR
BENJY,USA
BENN,AUS
BENNOLCK,AUS
BEPO,LUX
BETASTREP,USA
BH180,XXX
BIG_RED,USA
BIGGIEMAC,USA
BIGLEWWI,USA
BIGSIPPY,USA
BIRBWIZARD,USA
BISBY,USA
BLAARG,USA
BLACKCAT,POL
BLAKEGONG,SGP
BLARGMEISTER,GBR
BLAUWALBUBE,GER
BLAZECC,USA
BLAZIER,AUS
BLUEBOB,CAN
BMAC,CAN
BO STEIL,USA
BOB JENKINS,USA
BOSSROSS,USA
BOT_1985,XXX
BOWSER,USA
BOXIE,POR
BREAKFASTNOODLES,USA
BREANDAN,GBR
BREN CHI,HKG
BRENT W,AUS
BRIAN,HKG
BRIAN GLESSNER,USA
BRIAN PELLEGRINI,USA
BRIAN W,USA
BRIANC,BRA
BRICE P,CAN
BRODINDAMP,USA
BRYANMENDES,USA
BTYPE,USA
BUBBLE,GBR
BUCO,USA
BULESKANE,INA
BULLSEYE,USA
BURKE,USA
BURRITODAD,USA
BUTTERED,USA
C-B-A-,CAN
C-DUBS,USA
C.N.GEEK,CAN
CALCULATINGPOET,USA
CALIMANX,USA
CAMEELHABIB,USA
CAMERON EURE,USA
CARDEK,CZE
CASEY,AUS
CASTE,ITA
CASUALLY PWNING,GBR
CAZ HOAD,AUS
CC WINNER,XXX
CHAD,USA
CHAD MUSE,USA
CHARKRA,GBR
CHARLESSPARKLEY,USA
ARCHNASH,GBR
BANJ026,PER
BENDY1,USA
BIGPILE,GUM
CHEEZ,USA
CHENZIXUAN,ROC
CHESSJERK,USA
CHIDORI,USA
CHILLER,AUS
CHIRPINGMATT,USA
CHODELERON,USA
CHONG,SGP
CHRIS (CANADA),CAN
CHRIS BARB,CAN
CHRIS BIDWELL,USA
CHRIS BRADY,USA
CHRIS EXTINE,USA
CHRIS FORYST,POL
CHRIS H,AUS
CHRIS K,CAN
CHRIS TANG,USA
CHRISSY FORD,GBR
CHRISTIAN,USA
CHRONOS,USA
CHRRRISTO,CAN
CHUN WU,HKG
CHUSHIGLORIA,GER
CIMBRAIEN,INA
CIPOLLARA,ITA
CLANCY,USA
CLARENCE,USA
ClassicTetris,XXX
ClassicTetris2,XXX
ClassicTetrisItaly,XXX
ClassicTetrisKorea,XXX
ClassicTetrisLATAM,XXX
ClassicTetrisLeague,XXX
classictetrispolska,XXX
ClassicTetrisRussia,XXX
ClassicTetrisVietnam,XXX
CLAVER,BEL
CLEMAN,GER
CLUBSODA,USA
CMG444,USA
COLOR,USA
COLSTON,GBR
COLTELLO,KAZ
COLTON,USA
COMBATSLAYER,XXX
COMEGALLETAS,COL
CONOR,CAN
COOKIE,GBR
COUNTNEKO,USA
CRAB,USA
CRAFTEEKIM,USA
CROAGUNK,KOR
CROWHUNTT,ESP
