Match,Result,,,,,Event,Edition,Date/time,Round/game,Restreamer/location,,HW,AW,HM,AM,,,
1,THOR,1,1,JONAS,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,1,1,,20DAN03,
2,BUCO,2,0,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,1,1,,321MRHAATZ,20DAN03
3,JONAS,2,0,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,2,1,,3NT0N,321MRHAATZ
4,HARRY,2,0,DANA WILCOX,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,1,1,,3RROR404,3ARRETT
5,JESSE KELKAR,1,1,BUCO,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,1,2,,666_NOOB,3NT0N
6,JONAS,2,0,DANA WILCOX,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,3,2,,8888Q,3RROR404
7,HARRY,2,0,BUCO,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,2,3,,ABACYS,666_NOOB
8,THOR,1,1,HARRY,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,2,3,,ADAM,810770
9,DANA WILCOX,2,0,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,3,2,,ADAM CORNELIUS,8888Q
10,JONAS,2,0,BUCO,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,4,4,,ADDISON,AARON LEE
11,DANA WILCOX,2,0,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,4,2,,ADIRONDACK,ABACYS
12,THOR,2,0,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,3,3,,ADRENALIN,ADAM
13,JONAS,2,0,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,5,3,,ADUDEABIDES,ADAM CORNELIUS
14,THOR,2,0,BUCO,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,4,5,,AFAELR,ADDISON
15,JESSE KELKAR,1,1,DANA WILCOX,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,2,5,,AGAMESCOUT,ADIRONDACK
16,THOR,2,0,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,5,4,,AKAY,ADRENALIN
17,JONAS,1,1,HARRY,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,6,4,,AKGRANDMASTERB,ADUDEABIDES
18,JESSE KELKAR,1,1,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,3,5,,AKIDEEMUS,AFAELR
19,BUCO,1,1,DANA WILCOX,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,6,6,,AKUMA,AGAMESCOUT
20,HARRY,2,0,JESSE KELKAR,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,5,4,,ALDEN,AGUSVITTA
21,JESSE KELKAR,1,1,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,5,4,,ALEJODIOS,AIRETHO
22,BUCO,2,0,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,7,5,,ALEX H,AKAY
23,JONAS,2,0,JESSE KELKAR,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,7,6,,ALEX KERR,AKGRANDMASTERB
24,HARRY,2,0,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,6,6,,ALEX STROESCU,AKIDEEMUS
25,THOR,2,0,DANA WILCOX,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,6,7,,ALEX THACH,AKUMA
26,BEN MULLEN,1,1,TREY HARRISON,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,0.5,0.5,6,7,,ALEXKTETRIS,AL SHAHED
