player1Id,player1Score,player2Score,player2Id,Event,Edition,dateTime
THOR,1,1,JONAS,CTWC,2010,8/8/2010 23:00
BUCO,2,0,BEN MULLEN,CTWC,2010,8/8/2010 23:00
JONAS,2,0,TREY HARRISON,CTWC,2010,8/8/2010 23:00
HARRY,2,0,DANA WILCOX,CTWC,2010,8/8/2010 23:00
JESSE KELKAR,1,1,BUCO,CTWC,2010,8/8/2010 23:00
JONAS,2,0,DANA WILCOX,CTWC,2010,8/8/2010 23:00
HARRY,2,0,BUCO,CTWC,2010,8/8/2010 23:00
THOR,1,1,HARRY,CTWC,2010,8/8/2010 23:00
DANA WILCOX,2,0,TREY HARRISON,CTWC,2010,8/8/2010 23:00
JONAS,2,0,BUCO,CTWC,2010,8/8/2010 23:00
DANA WILCOX,2,0,BEN MULLEN,CTWC,2010,8/8/2010 23:00
THOR,2,0,TREY HARRISON,CTWC,2010,8/8/2010 23:00
JONAS,2,0,BEN MULLEN,CTWC,2010,8/8/2010 23:00
THOR,2,0,BUCO,CTWC,2010,8/8/2010 23:00
JESSE KELKAR,1,1,DANA WILCOX,CTWC,2010,8/8/2010 23:00
THOR,2,0,BEN MULLEN,CTWC,2010,8/8/2010 23:00
JONAS,1,1,HARRY,CTWC,2010,8/8/2010 23:00
JESSE KELKAR,1,1,BEN MULLEN,CTWC,2010,8/8/2010 23:00
BUCO,1,1,DANA WILCOX,CTWC,2010,8/8/2010 23:00
HARRY,2,0,JESSE KELKAR,CTWC,2010,8/8/2010 23:00
JESSE KELKAR,1,1,TREY HARRISON,CTWC,2010,8/8/2010 23:00
BUCO,2,0,TREY HARRISON,CTWC,2010,8/8/2010 23:00
JONAS,2,0,JESSE KELKAR,CTWC,2010,8/8/2010 23:00
HARRY,2,0,TREY HARRISON,CTWC,2010,8/8/2010 23:00
THOR,2,0,DANA WILCOX,CTWC,2010,8/8/2010 23:00
BEN MULLEN,1,1,TREY HARRISON,CTWC,2010,8/8/2010 23:00
HARRY,2,0,BEN MULLEN,CTWC,2010,8/8/2010 23:00
THOR,2,0,JESSE KELKAR,CTWC,2010,8/8/2010 23:00
JONAS,2,0,HARRY,CTWC,2010,9/8/2010 0:00
ALEX KERR,2,1,DANA WILCOX,CTWC,2011,16/10/2011 20:00:00
HARRY,2,0,BUCO,CTWC,2011,16/10/2011 20:00:00
JONAS,2,0,ELI MARKSTROM,CTWC,2011,16/10/2011 20:00:00
ROBIN MIHARA,2,0,BEN MULLEN,CTWC,2011,16/10/2011 20:00:00
ALEX KERR,2,1,HARRY,CTWC,2011,16/10/2011 21:00:00
JONAS,2,0,ROBIN MIHARA,CTWC,2011,16/10/2011 21:00:00
JONAS,2,0,ALEX KERR,CTWC,2011,16/10/2011 22:00:00
HARRY,2,1,STEVEN HUGHES,CTWC,2012,30/09/2012 18:00:00
TREY HARRISON,2,0,VINCE,CTWC,2012,30/09/2012 18:00:00
RIGEL PEARCE,0,2,KEVIN BIRRELL,CTWC,2012,30/09/2012 18:20:00
ROBIN MIHARA,2,0,JON BAKER,CTWC,2012,30/09/2012 18:20:00
ALEX KERR,2,0,NATHAN GRAYBEAL,CTWC,2012,30/09/2012 18:40:00
BEN MULLEN,2,0,BOB JENKINS,CTWC,2012,30/09/2012 18:40:00
BO STEIL,2,0,LOUIE SKOUIE,CTWC,2012,30/09/2012 19:00:00
DANA WILCOX,2,0,SHAWN SCHWARTZ,CTWC,2012,30/09/2012 19:00:00
